ytid,start_s,end_s,audioset_positive_labels,aspect_list,caption,author_id,is_balanced_subset,is_audioset_eval
-Dtir74TiUM,40,50,"/m/01hgjl,/m/0283d,/m/04rlf,/m/07qb_dv","['drum & bass', 'electronic dance music', 'hollering sample', 'scratching', 'synth', 'electronic drums', 'upbeat', 'energetic', 'eerie']",This is a drum & bass music piece. There is a constantly repeating hollering sample accompanied by rapid turntable scratching. A synth sound can be heard playing an ominous tune. The rhythmic background consists of a fast-tempo electronic drum beat. The atmosphere is energetic. This piece could be used in the soundtrack of a car racing game. It could also be playing at nightclubs during early-2000s themed parties.,9,False,False
-FEPOSP7ay0,260,270,/m/0395lw,"['loud bells impacts', 'metallic squeaking sound', 'low quality', 'mono', 'noisy']",The low quality recording features loud bells and metallic squeaking sounds. The recording is mono and noisy.,4,False,False
-FlvaZQOr2I,90,100,"/m/04rlf,/t/dd00037","['building suspense', 'cartoon show soundtrack', 'story telling', 'tense harmony', 'drumming rolls', 'poor audio quality', 'instrumental music', 'medium tempo', 'suspense', 'mystery', 'string section harmony', 'animated show', 'horns playing to a crescendo', 'poor audio quality', 'low bass thumps']","The song is an instrumental. The song is medium tempo, with a horn and string section and a drum section playing to a crescendo, followed by a low frequency thumping rhythm. The song is an instrumental soundtrack for an animated show. The audio quality is poor.",1,False,False
-O9mnfC61Ac,0,10,/m/01lyv,"['country music', 'fiddle', 'acoustic guitar', 'electric guitar', 'gentle playing', 'slow tempo', 'easygoing', 'sentimental', 'longing']","This is a country music piece. There is a fiddle playing the main melody. The acoustic guitar and the electric guitar are playing gently in the background. The song has a slow tempo. The atmosphere is sentimental. This piece can be used in the soundtrack of an American drama movie, especially during the scenes where the feeling of longing is emphasized.",9,False,False
-OAyRsvFGgc,30,40,"/m/01glhc,/m/02sgy,/m/0342h,/m/03lty,/m/04rlf,/m/0g12c5","['low quality', 'noisy', 'cover', 'rock', 'electric guitar solo melody', 'playback instrumental', 'punchy snare', 'punchy kick', 'smooth bass', 'soft cymbals', 'passionate', 'muffled']","The low quality recording features a cover of a rock song that consists of an electric guitar solo melody played over playback instrumental. The instrumental features a punchy kick and snare hits, soft cymbals and smooth bass. It sounds passionate, even though the recording is muffled and noisy, as it was probably recorded with a phone.",4,False,True
-OUIEnuNd1I,30,40,"/m/04rlf,/m/04wptg","['classical', 'baroque', 'canon', 'single instrument', 'instrumental', 'harp', 'catchy', 'iconic', 'calming', 'hopeful', 'positive', 'wedding music']",This is a classical music piece belonging to the baroque period. The piece is being performed with a harp. There is a catchy tune being played with a positive aura. This piece could suit well as wedding music. It could be used in the soundtrack of a documentary. It could also be playing in the background of a classy restaurant or a museum.,9,False,True
-Q9MTRXS4bE,30,40,"/m/024dl,/m/04rlf","['instrumental', 'fast tempo', 'happy', 'perky', 'punchy', 'background sounds super imposed by music', 'digital pads', 'lively', 'synthesised violins', 'upbeat', 'synthesiser arrangements', 'lively piano harmony', 'punchy digital drum rhythm', 'sound of beeping', 'funky bass line', 'tapping']","This music is a spirited instrumental. The tempo is fast with an animated Piano harmony, synthesiser  arrangements, synthesised violins, rhythmic digital drums, funky bass lines and electronic sounds. The music is superimposed over sounds of tapping and rhythmic beeping. The music is happy, perky, upbeat, enthusiastic, lively and spirited.",7,False,True
-R0267o4lLk,60,70,"/m/0239kh,/m/026t6,/m/02hnl,/m/02k_mr,/m/03t3fj,/m/06rvn,/m/0bm02,/m/0l14md","['latin percussion', 'complex rhythms', 'medium to uptempo']",You can hear two people playing various percussive instruments. One is holding the same beat playing on congas while the other is playing a solo changing rhythms and percussive sounds in a complex manner. This song may be playing live demonstrating a solo run.,6,False,False
-SD43H5B5hE,520,530,"/m/01jg02,/m/01jg1z,/m/04rlf","['soundeffects', 'cinematic', 'amateur recording']",There is a low sound that reminds of a heartbeat rising in tempo before a splash-like metallic sound with reverb comes in and breaks the atmosphere in half. This audio may be used for a movie scene. This audio is in poor quality.,6,False,True
-Umconw-CRE,30,40,"/m/0155w,/m/0342h,/m/04rlf","['low quality', 'noisy', 'muffled', 'electric guitar solo melody', 'cover', 'rock instrumental playback', 'passionate', 'emotional']","The low quality recording features a cover of a rock song with a rock instrumental playback playing in the background and electric guitar solo melody playing on top of it. It sounds muffled and noisy, as it was probably recorded with a low quality microphone, but it is still passionate and emotional.",4,False,True
-VclCul6FrI,80,90,"/m/013y1f,/m/04rlf,/m/04szw,/m/05148p4,/m/05r5c,/m/0b9m1,/t/dd00125","['low quality', 'noisy', 'mono', 'organ keys melody', 'muffled', 'distorted', 'jazzy']","The low quality recording features a jazzy organ keys melody. The recording is in mono, noisy, muffled and slightly distorted.",4,False,False
-XN0NtrnfMY,30,40,"/m/04rlf,/t/dd00035","['low quality', 'rock', 'instrumental', 'shimmering hi hats', 'punchy snare', 'groovy bass', 'acoustic rhythm guitar', 'electric guitar chord progression', 'energetic', 'addictive']","The low quality recording features a rock song instrumental that consists of shimmering hi hats, punchy snare, groovy bass guitar, acoustic rhythm guitar in the left channel and electric guitar chord progression in the right channel of the stereo image. It sounds energetic and addictive.",4,False,False
-YATTKBtmRA,190,200,"/m/01s0ps,/m/05148p4,/m/05r5c","['hip-hop', 'electronic', 'crisp synth', 'melodic pad', 'piano sample', 'strong bass', 'loud electronic drums', 'modern sounding', 'aggressive', 'energetic']",This is a hip-hop music piece. There is a crisp synth sound playing the melody. The piece has a strong bass sound. There is a melodic pad with beat repeat effect that uses a piano sample. The rhythmic background is provided by a loud electronic drum beat. The piece is energetic and modern sounding. It could be used in the soundtrack of a sci-fi movie where there is a lot of action going on.,9,False,False
-_OzT7Xyvok,30,40,"/m/0155w,/m/0326g,/m/04rlf,/m/05rwpb,/m/06j6l","['amateur recording', 'two acoustic guitars', 'flamenco', 'nylon string guitar', 'technically challenging', 'sloppy']",Amateur recording of two nylon string guitars playing in flamenco style. The playing is technically challenging yet sloppy.,8,False,False
-cLzki-B06o,30,40,"/m/04rlf,/m/0gywn","['arabesque', 'kurdish folk music', 'baglama', 'zurna', 'electronic drums', 'percussion', 'upbeat', 'lively', 'folk dance', 'halay']",This is a Kurdish folk music piece. The main melody is first played by the baglama and then by the zurna. The rhythmic background consists of an electronic drum beat and supportive percussive elements. The atmosphere is lively. This piece could be used as an accompaniment piece for a folk dance course such as the halay dance.,9,False,False
-cQ-jUTEgck,30,40,"/m/02p0sh1,/m/04rlf","['southern rock', 'blues rock', 'live performance', 'electric guitar', 'guitar solo', 'keyboard', 'bass guitar', 'acoustic drums', 'groovy']",This is a live performance of a southern rock piece. There is an electric guitar playing a blues solo. There is a bass guitar playing in the background. The rhythm is being played by the acoustic drums. The atmosphere is groovy. This piece could be playing in the background at a rock bar.,9,False,False
-dVgUSrR8g4,30,40,"/m/03lty,/m/04rlf,/m/0dl5d","['intense', 'vigorous', 'loud electric guitar feedback', 'intense', 'psychedelic', 'trap', 'trance', 'hard rock', 'enthusiastic', 'energetic', 'spirited', 'hyper', 'fast tempo', 'goth rock', 'heavy  metal', 'amplified guitar', 'intense drumming', 'chattering sounds', 'scratching', 'screeching', 'vigorous keyboard']","This song is a vigorous metal instrumental. The tempo is fast with intense drumming,  fiery electric guitar riff, amplified guitar rhythms and energetic keyboard accompaniment. The music is energetic, aggressive, youthful, spirited, goth, intense,psychedelic and trance like. This instrumental is Hard Rock/Metal.",7,False,True
-eDAoheZrY8,30,40,"/m/04rlf,/t/dd00036","['movie soundtrack', 'philharmonic orchestra', 'crescendo', 'booming lower harmony', 'average audio quality', 'tense', 'sci-fi music', 'string section harmony', 'suspenseful music', 'horn section', 'drums playing slowly', 'instrumental music', 'mysterious', 'science fiction', 'exploring dangerous territory', 'tuba', 'building tension']","The song is an instrumental. The song is slow tempo with building crescendo , string section harmony, horn section, drums playing steadily and piano accompaniment. The song is suspenseful and builds anticipation. The song is a movie soundtrack and has an average audio quality.",1,False,True
-hYRFCQdbLg,30,40,"/m/04rlf,/m/04szw,/m/0l156b","['upbeat instrumental', 'loud marimba melody', 'noisy', 'low quality']","The Low quality recording features an upbeat instrumental playing in the background on some kind of speaker, while a loud marimba melody is played over it. It kind of sounds off beat, also the sound is mostly located in the left channel of the stereo image, which makes the recording imbalanced and low in quality.",4,False,True
-i9gpG3vPwA,30,40,"/m/04rlf,/m/07qsvvw","['instrumental', 'two tracks', 'electronic music', 'harmonic', 'futuristic', 'engaging', 'captivating', 'dance groove', 'electro pop', 'unrelated tracks', 'synthesiser articulation', 'funky drumming', 'enthusiastic digital drum rhythm', 'keyboard harmony', 'dance pop', 'edm', 'pleasant', 'ambient', 'amplified paino', 'surround sound']","This audio clip is an electronic instrumental of two different tracks with medium fast tempo. The first tempo has an amplified piano playing an emphatic harmony along with digital drums. The second track has emphatic digital drums and electronic /synthesised music arrangement. Both the tracks are melodious, pleasant, harmonic, futuristic, captivating and engaging with a dance groove.",7,False,True
-kpR93atgd8,30,40,"/m/015y_n,/m/0164x2,/m/04rlf,/m/06cqb","['ska', 'saxophone', 'e-guitar', 'acoustic drums', 'percussion', 'keys', 'e-bass', 'fast tempo', 'uplifting energy']",An acoustic drum is playing along with a bassline giving the song a ska/reggae feeling. The e-guitar strumming on the offbeat supports that feeling while a keyboard is playing a bell-sounding chord. Bongos are setting little accents at the end. A saxophone is playing a melody along. This song may be playing at a festival outside while the sun is shining.,6,True,True
-lPXTBXa0tE,30,40,"/m/01glhc,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/06w87,/m/07s0s5r,/m/0fx80y","['bad audio quality', 'vintage guitar tone', 'passionate', 'spirited', 'guitar demo', 'soloist', 'antique guitar', 'youtube music class', 'master class', 'buzzing noise', 'instrumental music', 'ambient room noise', 'bad audio quality', 'super tone unique tone', 'melancholic', 'country music', 'medium tempo', 'rich country traditions']",The song is an instrumental. The song is medium tempo played by a solo guitarist on a vintage super tone with an exquisite tone. The song is emotional and passionate. The song has poor audio quality.,1,False,True
-mA_bqD1tgU,30,40,"/m/04rlf,/t/dd00031","['low quality', 'folk', 'wooden percussions', 'groovy bass', 'breathy flute melody', 'groovy piano melody', 'sustained strings melody', 'shimmering shakers', 'passionate', 'happy', 'joyful']","The low quality recording features a folk song that consists of a wooden percussion, groovy bass, breathy flute melody, groovy piano melody, shimmering shakers and sustained strings melody. It sounds passionate, joyful and happy.",4,False,False
-sRFfU8k0Zs,90,100,"/m/04rlf,/t/dd00037","['movie music', 'arabic', 'instrumental', 'clarinet', 'sound effects', 'knives', 'horror', 'terrifying', 'ominous', 'hopeless']","This is an Arabic movie music piece. It is an instrumental piece. There is a clarinet playing a vague melody. The sound of knives being rubbed against one another can be heard. There is an ominous, terrifying atmosphere. This piece could be used in the soundtrack of a horror movie to imply the feeling of hopelessness.",9,False,False
-sevczF5etI,30,40,"/m/025td0t,/m/04rlf,/t/dd00033","['folk', 'passionate sitar guitar', 'groovy bass', 'punchy kick', 'metallic percussive elements', 'short offbeat accordion chords', 'low quality', 'clicky keys', 'emotional']","The Folk song features a passionately played sitar guitar, groovy bass and short offbeat accordion chords, followed by metallic percussive elements and punchy kick. The recording is a bit lower in quality due to loud clicky keys sounds. It sounds passionate and emotional.",4,False,True
-tKZOl4q1Kw,20,30,"/m/02lkt,/m/04rlf","['high pitched synth', 'riser', 'fuzzy synth', 'motif', 'synth melody']","The clip just contains a high pitched synth melody. The motif keeps going higher in pitch, and then eventually a riser comes in. The combination of these two factors creates a sense of build-up to a climactic moment.",3,False,True
-taO6N-rxv4,30,40,"/m/04rlf,/m/07swgks","['rock music', 'tutorial', 'electric guitar', 'acoustic drums', 'sound effects', 'underwater', 'loud', 'generic', 'common sounding']",This is a rock music piece playing in the background of a tutorial video. There is an electric guitar playing a simple tune as the lead while another provides a rhythmic backing by playing the same note repeatedly in rapid procession. There is an acoustic drum beat playing. There are water sound effects related to the video. The piece has a generic feeling. It does not evoke much excitement. It could be used as a jingle for an advertisement or in the background of an instructive video.,9,False,True
-uaTK8sa5Ms,10,20,"/m/018j2,/m/04rlf","['country', 'banjo', 'acoustic piano', 'violin', 'upright bass', 'uptempo']",An acoustic drum set is playing a 16th note rhythm using the edge of his snare and a hihat sound opening and closing. A banjo is playing a fast melody along with a violin/viola playing the same melody. An upright bass is playing a walking bassline. This song may be playing in a funny tv-show.,6,False,True
-w8maIWtnUk,30,40,"/m/01b9nn,/m/01jnbd,/m/02rr_,/m/02sgy,/m/04rlf","['instrumental', 'jam', 'electric guitar', 'clean sound', 'effect pedal', 'echo', 'dreamy', 'trippy']",This is an instrumental jam recording of a gear showcase. There is an electric guitar with a clear sound being played with an echo pedal. It gives the recording a dreamy feeling. This track can be used to lift guitar samples with effect for a beat.,9,False,True
-wVWjl9Kq6U,240,250,/m/0155w,"['instrumental', 'medium tempo', 'electric guitar lead', 'ambient', 'steady drumming', 'groovy bass line', 'trumpets', 'melodic', 'pleasant', 'funky', 'groovy', 'soft rock', 'pop rock', 'funk rock', 'youthful', 'atmospheric', 'brass band', 'soul', 'neo soul', 'soothing', 'rhythmic acoustic guitar']","This music is a melodic instrumental. The tempo is medium  with a captivating electric guitar lead, rhythmic acoustic guitar, funky bass line, keyboard accompaniment, steady drumming and trumpets. The music is soothing, atmospheric, euphonious, youthful, and soulful. This instrumental is a Soft Rock/Funk pop.",7,False,False
01PzcPKT3_E,30,40,"/m/01kcd,/m/07c6l","['jazz', 'saxophone solo melody', 'shimmering shakers', 'tinny metallic percussions', 'mellow sustained brass melody', 'passionate', 'emotional', 'soulful']","The Jazz song features a saxophone solo melody played over shimmering shakers, tinny metallic percussions and mellow sustained brass melody. It sounds passionate, emotional and soulful.",4,False,False
02Qntw26enM,90,100,"/m/04rlf,/m/07kc_,/t/dd00125","['classical', 'amateur recording', 'theremin', 'acoustic piano', 'medium to uptempo']",This audio contains a theremin playing a melody in the higher register along to an acoustic piano recording in the background. This song may be practicing theremin playing along with a backing track.,6,False,False
03frQGyrgQ4,30,40,"/m/04rlf,/m/07kc_","['theremin', 'emotional', 'guitar accompaniment', 'poor audio quality', 'romantic', 'love song', 'endless love', 'forever together', 'ambient noises', 'youtube music video', 'beautiful love', 'pure and innocent', 'live performance', 'live audience', 'melancholic music', 'instrumental music', 'slow tempo', 'emotional', 'sad']",The song is an instrumental. The song is in slow tempo with a theremin playing a melancholic melody with a guitar accompaniment. The song is emotional and lilting. The audio quality is poor.,1,False,False
04NjXsLyCl4,30,40,"/m/04rlf,/m/07qn4z3","['r&b', 'e-guitar sound', 'cymbals', 'digital drums', 'chimes', 'slow tempo', 'amateur recording']",A loud cymbal sound is opening the space for a digital drum playing a simple groove when an e-guitar-like sound comes in and plays a melody on top. This is an amateur recording. This song may be playing in a sensual movie scene.,6,False,True
07-3grCQ8EU,30,40,"/m/02p0sh1,/m/04rlf,/m/04wptg","['polish folk music', 'wedding music', 'instrumental', 'polish fiddle', 'mandolin', 'baraban', 'festive', 'joyful', 'folk dance']","This is a Polish folk music piece meant to be played at weddings. This is an instrumental piece. The melody is played by a Polish fiddle, while there are occasional notes that can be heard from the background of an instrument that sounds like a mandolin. The rhythmic background is probably from the Polish percussive instrument baraban. There is a joyful atmosphere. This piece could be played at Polish weddings or it could be used in the soundtrack of a historical movie or a TV show that takes place in an Eastern European town.",9,False,False
07-vpXo91XM,70,80,"/m/02cz_7,/m/04rlf,/m/07q4ntr,/m/0glt670","['live concert', 'beatboxing', 'house music', 'loud crowd', 'audience screaming', 'low fidelity recording', 'audio distorting']","Low fidelity recording of a live concert. The crowd noise is very loud and the audience is screaming. The audio is distorting. Amidst the crowd noise, beat boxing can be heard performing a house music style beat.",8,False,False
07FxCXxknY4,30,40,"/m/018vs,/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/t/dd00031","['fingerstyle-guitar', 'acoustic guitar', 'medium tempo', 'classical atmosphere']",This audio contains an acoustic guitar. The piece is played in fingerstyle. Meaning that the chords and the melody are played at the same time. The guitar has some reverb on it. This song may be playing live at an art gallery.,6,False,True
08mf5GxT820,30,40,"/m/04rlf,/m/07qv_x_","['techno', 'digital drums', 'synth lead sound', 'synth bass', 'feet stumping noises', 'amateur recording', 'dancing']",A digital drum is playing a simple rhythm along with a synth bassline. A very pregnant synth lead i s playing a catchy and repeating melody in the higher register. In the background you can hear feet stumping noises. This song may be playing in a club.,6,False,True
09lQmg2wvsY,100,110,"/m/01v1d8,/m/04rlf","['amateur recording', 'digital sounds', 'riser', 'atmospheric']",Someone is playing a bunch of different digital sounds that are arpeggiated and rising in pitch with dissonant harmonies. This is an amateur recording.,6,False,True
0ADP-O_V3vA,30,40,"/m/03_d0,/m/04rlf,/m/04wptg,/m/06j6l","['duet', 'fast tempo', 'upbeat', 'ukrainian song', 'spirited', 'enthusiastic', 'energetic', 'buoyant', 'bright', 'colourful', 'catchy', 'simple melody', 'cheerful', 'high-spirited', 'pop', 'foreign language', 'infectious', 'folk', 'regional music', 'keyboard harmony', 'groovy bass lines', 'infectious drumming', 'galloping rhythm', 'rhythmic acoustic guitar']","This song is a lively Ukrainian duet. The tempo is fast and upbeat with a bright keyboard harmony, infectious drumming , groovy bass line and rhythmic acoustic guitar. The music is energetic, enthusiastic, lively, high-spirited , cheerful, happy, warm, buoyant and catchy with a simple melody. This song is a Ukrainian Pop song.",7,False,False
0AGHo8V8HpM,130,140,"/m/03q5t,/m/05148p4","['instrumental', 'fast tempo', 'cello harmony', 'exquisite', 'creative', 'art music', 'italian  music', 'italian composition', 'italian composer', 'bow stringed instrument', 'lively', 'intense', 'rich', 'classical', 'western classical', 'baroque', 'harpsichord accompaniment']","This music is instrumental. The tempo is fast with a spirited cello and harpsichord accompaniment. The music is lively, intense, rich, complex , exquisite and engaging. This music a Western Classical.",7,False,False
0AhX-ReXovI,120,130,"/m/01p970,/m/026t6,/m/0l14md","['amateur recording', 'pop', 'backing track', 'synth pad', 'flutes', 'chimes', 'tablas', 'medium tempo']","Someone is playing a simple groove on tablas. In the background you can hear a backing track playing a flute melody along with synth pads, shaker/chime sounds and a tambourine. This song may be playing practicing tablas at home.",6,False,False
0BFauf6TGGU,0,10,"/m/085jw,/m/0l14l2","['indian dance music', 'bansuri', 'harmonium', 'manjira', 'vibrant', 'lively']","This is an Indian dance music piece. The piece opens with a bansuri note. Then, the harmonium starts playing a repeated melody.  The rhythmic background is provided by the manjira. The atmosphere is vibrant and lively. This piece is the perfect accompaniment piece for a modern dance course.",9,False,False
0DYH0sqDXB8,30,40,"/m/02x8m,/m/04rlf,/m/0gywn","['low quality', 'synth pad chords', 'punchy snare', 'heartbeat kick', 'shimmering hi hats', 'synth keys chords', 'easygoing', 'chill', 'groovy']","The low quality recording features synth pad chords and synth keys chords played over punchy snare, heartbeat kick and shimmering hi hats. It sounds easygoing, chill and groovy.",4,False,False
0EOQco76eXQ,30,40,"/m/018vs,/m/04rlf,/m/04szw,/m/04wptg","['slow tempo', 'drum brushes percussions', 'inspiring', 'devotional', 'romantic', 'together forever', 'ambient room noises', 'poignant', 'jazz music', 'bass solo', 'piano accompaniment', 'jazz band', 'smooth jazz', 'live performance', 'church music', 'slow tempo', 'groovy solo', 'emotional', 'romantic', 'poignant', 'inspiring', 'motivational', 'fretboard sounds', 'christian music', 'music interlude']","The song is an instrumental. The song is slow tempo with gentle drum brushes, percussion, bass guitar solo, and piano accompaniment gently. The song is groovy and emotional. The song is possibly a Christian worship song or a smooth jazz song. The audio quality is average.",1,False,True
0HXYdGGKV2k,30,40,"/m/018j2,/m/04rlf,/m/0gg8l","['banjo player', 'fast tempo', 'groovy music', 'love video performance', 'instrumental music', 'virtuoso', 'walking bass line', 'entertaining', 'love performance', 'soloist', 'country blue grass', 'entertaining', 'energetic', 'passionate', 'spirited', 'instrumentalist', 'poor audio quality', 'live performance']",The song is an instrumental. The song is medium tempo with a groovy rhythm and fast fingers playing this banjo solo. The song is entertaining and exciting. The song is of poor audio quality and a live performance video.,1,False,True
0MzrXd8CUCg,30,40,"/m/04fq5q,/m/04rlf","['wide resonating woodwind melody', 'noisy', 'audio crackles', 'loud', 'harsh', 'low quality']","The low quality recording features a wide resonating woodwind melody. The recording is loud, noisy with some crackles and it sounds harsh.",4,False,True
0ONdm4sW47c,30,40,"/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y","['classical music', 'instrumental', 'acoustic guitar', 'gentle playing', 'tender', 'optimistic', 'delicate', 'major key']","This is a classical music piece that is being performed on the acoustic guitar. The acoustic guitar is being played in a gentle manner. The tune is in major key which gives the piece an optimistic aura. There is a tender atmosphere to the piece. This piece could be playing in the background at a classy restaurant. It could also be used in the soundtrack of a feelgood movie, especially during the scenes in which the characters are finding pleasure in simple things.",9,False,False
0OhtODbKajw,350,360,"/m/02qmj0d,/m/07y_7,/m/0l14_3","['classical', 'violins', 'viola', 'uprightbass/cello', 'uptempo']",This audio contains people playing a melody in the higher register using violins and a viola. Some are playing the melody upwards while others are playing downwards. A cello or upright bass is providing a melody line in the lower register. This song may be playing during a classical concert.,6,False,False
0RgGrVklaao,150,160,"/m/04rlf,/m/07qqyl4","['instrumental', 'medium tempo', 'sound of rain', 'anticipation', 'scary', 'dark', 'buzzing electric circuit', 'intense', 'suspense', 'thunder', 'lightening', 'metal clanging rhythmically', 'storm', 'thunder storm', 'rain storm', 'heavy rain', 'electronic music', 'two tracks', 'unrelated', 'sinister', 'scary', 'spooky', 'eerie', 'electricity', 'buzzing', 'water flowing']","This clip is an instrumental of two separate tracks. The tempo is medium with the first clip of ambient nature sounds during a rainfall like, thunder, lightning and water flowing followed by  a rhythmic clanging of metal. The second clip is sinister music on the synthesiser followed by the buzzing of an electric circuit. The audio is dark, sinister, anticipatory, scary, suspenseful and spooky.",7,False,True
0RpkkfkUBRU,10,20,"/m/04rlf,/t/dd00036","['cinematic', 'electronic', 'synth sounds', 'reverb', 'delay', 'marimba', 'experimental', 'arpeggios', 'fast tempo', 'tension']","This audio contains a cinematic composition with evolving synth drone sounds. Higher pitched pads, noise sounds panning to both sides of the speakers and arpeggiated short percussive pluck sounds. Some synth strings are playing a dissonant harmony creating more tension. A marimba hit is being played with a lot of reverb. This song may be playing for a movie-scene full of tension.",6,False,False
0S5zWt91Bwo,30,40,"/m/0342h,/m/042v_gx,/m/04rlf,/m/04szw,/m/07s0s5r,/m/0fx80y,/m/0gg8l","['amateur recording', 'acoustic guitars', 'mandolin', 'upright bass', 'uptempo', 'cheerful']","This song contains acoustic guitars being strummed fast, a mandolin playing the lead melody in a higher pitch and an upright bass providing an almost walking bassline. This song may be playing in the countryside while having a BBQ.",6,False,False
0SNhAKyXtC8,30,40,"/m/02p0sh1,/m/04rlf","['oriental', 'harp', 'low and high frequencies', 'medium tempo']","Someone is playing a harp making use of the full register. A bassline, a melody is the mid range and high repetitive note. The whole composition sounds oriental due to a lot of half notes. This song may be playing at a live concert.",6,False,True
0Wdh45yt7tY,50,60,"/m/085jw,/m/0l14j_","['instrumental music', 'gypsy music', 'medium tempo', 'poor audio quality', 'accordion accompaniment', 'flute melody', 'guitar rhythm', 'european instruments', 'memdium tempo', 'bad audio quality', 'folk music', 'folk musicians', 'nostalgic', 'olden days', 'forgotten traditional', 'traditional instruments', 'calming', 'soothing', 'good old days', 'comfort']","The song is an instrumental. The song is medium tempo with an accordion accompaniment, violin solo and a flute melody. The song is beautiful and nostalgic. The audio quality is poor. The song has an old gypsy soul to it.",1,False,False
0ZNFJz-eZTU,120,130,"/m/01kcd,/m/06ncr","['snappy rimshots', 'soft hi hats', 'soft kick', 'cover', 'smooth bass', 'organ keys chords', 'mellow piano chords', 'passionate saxophone melody', 'passionate', 'emotional', 'jazz', 'low quality', 'reverberant']","The low quality recording features a jazz song cover that consists of a passionate saxophone melody played over soft hi hats and kick hits, snappy rimshots, smooth bass, organ keys chords and mellow piano chords. It sounds emotional, passionate and reverberant - as it was probably recorded in a medium size room.",4,False,False
